month,order_intake,order_intake_total,order_intake_building_construction,order_intake_commercial_and_industrial_building_construction,order_intake_public_building_construction,order_intake_civil_engineering,order_intake_commercial_and_industrial_civil_engineering,order_intake_road_construction,order_intake_other_civil_engineering
Januar,265733,191725,90500,96886,4340,74008,45660,16382,11966
Februar,247769,175711,149177,18506,8027,72058,40285,13995,17779
März,455998,276093,154445,72581,49068,179905,120706,17840,41359
April,232326,151016,118580,14847,17589,81310,46390,25172,9748
Mai,258307,154973,122965,24326,7683,103334,65224,29384,8726
Juni,275886,164744,112048,40417,12279,111142,76972,19389,14781
Juli,370551,281617,179477,74757,27383,88935,50536,24619,13780
August,...,...,...,...,...,...,...,...,...
September,...,...,...,...,...,...,...,...,...
Oktober,...,...,...,...,...,...,...,...,...
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
