period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
Ausbaugewerbe,,,,,,
43.2,Bauinstallation,,266,15639,5186,155978
43.21,,Elektroinstallation,87,4377,1465,43584
43.22,,"Gas-, Wasser-, Heizungs-, Lüftungs-u. Klimainstallation",127,7236,2297,69821
43.29.1,,"Dämmung gegen Kälte, Wärme,Schall und Erschütterung",21,1998,750,14507
43.29.9,,Sonstige Bauinstallation a.n.g.,31,2028,674,28066
43.3,Sonstiger Ausbau,,142,4896,1532,40531
43.31,,"Anbringen von Stuckaturen, Gipserei und Verputzerei",36,1151,349,9078
43.32,,Bautischlerei und -schlosserei,22,637,212,5765
43.33,,"Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei",28,950,296,6802
43.34.1,,Maler- und Lackierergewerbe,53,1983,616,16414
43.34.2,,Glasergewerbe,2,•,•,•
43.39,,Sonstiger Ausbau a.n.g.,1,•,•,•
