month,working_days,working_hours_total,working_hours_building_construction,working_hours_commercial_and_industrial_building_construction,working_hours_public_building_construction,working_hours_civil_engineering,working_hours_commercial_and_industrial_civil_engineering,working_hours_road_construction,working_hours_other_civil_engineering
Januar,22,1438,784,519,193,72,654,366,170
Februar,20,1461,787,520,190,78,674,367,196
März,22,...,...,...,...,...,...,...,...
April,18,...,...,...,...,...,...,...,...
Mai,20,...,...,...,...,...,...,...,...
Juni,22,...,...,...,...,...,...,...,...
Juli,21,...,...,...,...,...,...,...,...
August,23,...,...,...,...,...,...,...,...
September,21,...,...,...,...,...,...,...,...
Oktober,21,...,...,...,...,...,...,...,...
November,22,...,...,...,...,...,...,...,...
Dezember,19,...,...,...,...,...,...,...,...
