month,turnover,turnover_total,turnover_building_construction,turnover_commercial_and_industrial_building_construction,turnover_public_building_construction,turnover_civil_engineering,turnover_commercial_and_industrial_civil_engineering,turnover_road_construction,turnover_other_civil_engineering
Januar,243292,243242,164002,101604,45319,17080,79240,40519,13151
Februar,250143,250002,171737,108091,39926,23719,78266,46202,18945
März,355205,355033,228477,147550,52782,28146,126555,88322,20471
April,...,...,...,...,...,...,...,...,...
Mai,...,...,...,...,...,...,...,...,...
Juni,...,...,...,...,...,...,...,...,...
Juli,...,...,...,...,...,...,...,...,...
August,...,...,...,...,...,...,...,...,...
September,...,...,...,...,...,...,...,...,...
Oktober,...,...,...,...,...,...,...,...,...
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
